,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
227,Rodions Kurucs,Bro,F,21.18,8.5,0.8,20.5,3.9,0.67,0.43,2018-2019,1618320.0
228,Zach LaVine,Chi,G,24.09,23.7,4.5,34.5,4.7,0.95,0.41,2018-2019,19500000.0
229,Marvin Bagley III,Sac,F,20.08,14.9,1.0,25.3,7.6,0.53,0.95,2018-2019,7305600.0
230,Tyrone Wallace,Lac,G,24.84,3.5,0.7,10.1,1.6,0.34,0.11,2018-2019,1349383.0
231,John Collins,Atl,F-C,21.55,19.5,2.0,30.0,9.8,0.36,0.64,2018-2019,2299080.0
232,Abdel Nader,Okc,F,25.54,4.0,0.3,11.4,1.9,0.33,0.2,2018-2019,1378242.0
233,Pat Connaughton,Mil,G,26.26,6.9,2.0,20.7,4.2,0.54,0.43,2018-2019,1641000.0
234,Frank Jackson,Nor,G,20.94,8.1,1.1,19.2,2.2,0.41,0.03,2018-2019,1378242.0
235,Meyers Leonard,Por,F-C,27.12,5.9,1.2,14.4,3.8,0.21,0.15,2018-2019,10595506.0
236,Jerian Grant,Orl,G,26.5,4.2,2.6,15.6,1.7,0.73,0.1,2018-2019,2639314.0
237,Kawhi Leonard,Tor,F,27.78,26.6,3.3,34.0,7.3,1.77,0.42,2018-2019,23114067.0
238,Cristiano Felicio,Chi,F-C,26.76,4.0,0.6,12.4,3.7,0.18,0.12,2018-2019,8740980.0
239,Maurice Harkless,Por,F,25.92,7.7,1.2,23.6,4.5,1.12,0.92,2018-2019,10837079.0
